term|english
འབར་ར་བ་རྒྱལ་མཚན་བཟང་པོ་|Barawa : 1250-1331 or 1310-1391 (Stein)
འབར་རི་འབུར་རི་|bumpy
བར་རླུང་|the medium breath, intermediate breath practice
འབར་རོ་|Baro, at Nyanang, in Latö
བར་སྡོམ་བཏོང་ཚུལ་|Mipham Rinpoche def: {bsam pa'i 'phen shugs chad pa 'am, khas blang las ldog pa 'am, 'jug pa'i bya ba chad pa 'am, don gtsug lag khang dang rgya sogs lta bu chad pa dang, tshe 'phos pa rnams kyis gtong la, dge rtsa chad pa las dge ba'i sdom pa gtong ngo} Limited vows are abandoned when the force of one's intention is interrupted, when withdrawing one's pledge, when the engaged action is interrupted, when the object, such as a temple or an animal trap, ceases to exist, or when one passes away. Virtuous [limited] vows are abandoned when cutting the root of virtue.
བར་སྡོམ་|vow with limited time span, limited vow
འབར་ཤིང་|match, firewood
བར་སྐབས་ཀྱི་ཚིགས་བཅད་|intermediate verse
བར་སྐབས་|[TRS 78-6]
བར་སྐྱ་སིང་པོ་|pure, clear space
བར་སྣང་བདེ་མོར་འཕུར་བ་|fly easily through space
བར་སྣང་བདེ་མོ་སྐོར་གྱིན་|flies about into the free heavens
བར་སྣང་|heavens/ from earth to stars; sky, space, air, midair, atmosphere
བར་སྣང་འཇའ་ལྟར་|Like a rainbow in space
བར་སྣང་ཁམས་|celestial realms; the sky; space
བར་སྣང་ཁམས་ལ་འཕྱོ་བ་|to move throughout all of space, to soar throughout the vastness of the sky
བར་སྲིད་གྲུབ་ནས་|once the intermediate existence has taken place
བར་སྲིད་|interval/ intermediate state between death and rebirth as a phase of conditioned existence; intermediate existence, the bardo state. [Syn {srid pa bar ma}
བར་སྲུབས་|CM: gseng dbar, opening, space(?), (MG: for gseng bdar gives) chasm, intermission. E.g, sgo'i bar gseng nas bltas, looking through the opening/chasm of the door. spyi don gyi bar gseng (space, interval) dang bstun zur khrid byed pa. [mss]
བར་ཐང་|Bartang, in Nyemo, Tsang
བར་ཙམ་|between
བར་ཚོང་|broker
བ་རུ་ར་|Cragaegus Sanguinea, beleric myrobalan, [important medicinal plant, cragaegus sanguinea]
བ་རུ་རའི་མདོ་|sutra on the myrobalan fruit, Aksharasi Sutra
བས་|rather than; because/ more than; a remote place, to say nothing of, much less; / pas - as, because, since
བ་ཤ་|shinning, beautiful, variegated
བ་ཤོ་|currants, small raisins
བ་ཤུ་|a virulent boil, ulcer
བས་མོ་|bi - fowl, hen, bird
བས་མཐའ་|a hermitage the distance of half a {rgyang grags} away from a village; remote place, hermitage, solitude, seclusion. {ri khrod}
བ་སོ་བ་ཆོས་ཀྱི་རྒྱལ་མཚན་|Basowa Chökyi Gyaltsen (1409-73); one of the six siddhas of the Ganden Mahamudra
བ་སོ་|elephant's tooth, ivory; ivory
བས་པ་|done [with], settled, border-country
བ་སྤུ་|[body] hairs, fine, little hair
བ་སྤུ་གྱེན་དུ་ཕྱོགས་པའི་མཚན་བཟང་|the excellent mark of body hairs turning upward [one of the 32 major marks of a Buddha [R]
བ་སྤུ་གཡོ་བ་|the hairs trembled, stood on end, quivered
བ་སྤུ་གཡོ་|x {lus ba spu g.yo mig mchi ma 'khrugs} every pore on your body tingling and your eyes wet with tears
བ་སྤུའི་བུ་ག་|hair pores
བ་སྤུའི་ཁུང་བུ་|, bu ga - the pores [on the body; hair pores, the pores [on the body
བ་སྤུ་རེ་རེ་ནས་གཡས་སུ་འཁྱིལ་བའི་མཚན་བཟང་|the excellent mark of each body hair coiling clockwise
བ་སྤུ་རེ་རེ་ནས་གྱས་སུ་འཁྱིལ་བའི་མཚན་བཟང་|the excellent mark of every body hairs coiling clockwise [right] [one of the 32 major marks of a Buddha {sangs rgyas kyi mtshan bzang so gnyis}. having genuinely received the oral instructions since he makes the holders of them increase.] OR because of completely having abandoned occupations and distractions]
བ་ཐག་|1) rope. 2) root, stalk of fruit
འབའ་ཐང་|county in 21th cent Tibet.
བ་ཚབ༹་ཅན་|alkaline
བ་ཚབ༹འི་རྒྱ་མཚོ་|the Salty Ocean, [the ocean between the continents and the surrounding iron mountain wall]
བ་ཚྭ་|salt [ocean]
བ་ཚྭ་ཅན་|briny/ salty
བ་ཚྭ་ཅན་གྱི་ཆུ་ཀླུང་གི་མདོ་|unidentified
བ་ཚྭ་ཅན་གྱི་རྒྱ་མཚོ་|the salt-water ocean; the Salty Ocean, [Syn {ba tshva'i rgya mtsho}. the ocean between the four continents and the surrounding iron wall in the traditional Buddhist layout of the universe with Mt. Meru etc
བཱ་ཏུ་ཊའི་ཡུལ་དུ་བྲོས་|escaped to the land of Vatuta
བ་ཡན་མཁར་|county in 21th cent Tibet.
འབའ་ཞིག་གིས་|exclusively, only, unique
འབའ་ཞིག་|{yon tan 'ba' zhig la bsams} thinking only of his virtues
འབའ་ཞིག་པོ་|sole, single, exclusive
འབའ་ཞིག་ཏུ་|exclusively, entirely [mss]
བ་ཞོ་|MSS: cow's yogurt/curds ??? E.g R75: 320, ba zho ba mo mu tig mdog. [mss]
བཅའ་|1) f. of {'cha and 'chos}. 2) abbr. of {bca' ba} to place
བཅའ་བ་|chewable
བཅའ་བ་ལུས་ཀྱི་གནད་གསུམ་|three supportive essentials of the body: the postures of lion, elephant and sage
བཅབ་|f. of {'chab}; fut. of {'chab}
བཅབ་པ་|ft. of {'chab pa}
བཅབས་|1) p. of 'chab. 2) secret, hidden, concealed
བཅབས་པ་|pf. of {'chab pa}
བཅད་|1) p. of {gcog}. 2) f. of {'chag} 1) to break, split, cut, cut off from, to break off. 2) to fall, throw, dash down. 3) lost; 1) p. of {gcog}. 2) fut. of {'chag} 1) to break, split, cut, cut off from, to break off. 2) to fall, throw, dash down. 3) lost; cut; close
བཅད་དོན་|object of scrutiny
བཅད་དོན་ཐོབ་པ་|to obtain the identified object, obtainment of the identified object [ggd]
བཅད་གཏུབ་བྱེད་པ་|to cut, chop, make piecemeal of
བཅད་ལྷུག་སྤེལ་གསུམ་|poetry, prose and mixture
བཅད་ལྷུག་སྤེལ་མ་|alternating poetry and prose
བཅད་མཚམས་|demarcation, boundary line
བཅད་པ་|to sever; {'khri ba bcad pa} to sever his ties
བཅད་རྒྱ་དམ་པོ་བྱས་པ་|strictly sealed in retreat
བཅད་རྒྱ་|strict retreat
བཅད་ཤེས་|subsequent cognition, subsequent perception [ggd]
བཅད་ཤེས་གཉིས་|two types of determinate cognition
བཅད་ཟིན་པ་|severed parts
བཅའ་ག་འཐག་པ་|to oversee one's possessions
བཅག་ནས་འཆིང་བུའི་དུམ་བུ་|break into fragments
བཅག་པ་|pf. of {gcog pa}; sadness; to abate, reduce [value / amount]
བཅའ་འགྲིག་|order, regulation
བཅགས་པ་|pf. of {'chag pa}
བཅགས་|subdued; p. of {'chag} trod under, touched with, trod down upon
བཅག་|to break, cause to break
བཅའ་གཞི་|ritual preparation
བཅའ་ཁྲིམས་|law
བཅལ་བ་|pf. of {'jal ba}; blood-money
བཅལ་དུ་བཀྲམ་པ་|to blanket the whole place
བཅའ་ལྒ་|ginger
བཅམ་བཅོམ་|leveled
བཅམ་པ་|ft. of {gcom pa}
བཅམ་|p. of {'cham}
བཅམས་པ་|pf. of {gcom pa}
བཅང་བ་|ft. of {'chang ba}
བཅང་|fut. of {'chang} to grasp; f. of {'chang} to grasp
བཅང་པོ་|artful
བཅངས་པ་|pf. of {'chang ba}
བཅངས་|p. of {'chang}
བཅའ་འཕྲེང་|dangerous passage
བཅར་|1) near, intimate; close, dear [relationship]. 2) {bcar ba} va. to go to, call on someone high in status (h). 3) to get close to, come in close contact with. 4) squeeze, press, crowd, throng. 5) to interview, visit ( a lama)
བཅར་བ་རྣམས་|close people [friends]
བཅར་བ་|squeezed; pf. of {gcor ba}; to squeeze, quash, press/ control
བཅར་བདེ་པོ་|approachable, accessible
བཅར་གྱིས་མནན་པ་|forcefully suppress
བཅར་ཕོག་|CM: (rnying) thad kar ngo sprod pa, to realize directly. E.g., gdams ngag bcar phog gnang ba, directly realized [his teacher's] oral instructions/precepts. [mss]
བཅས་|and
བཅས་བཅོས་བྱེད་|manipulation or meddling
བཅས་བཅོས་བྱེད་པ་|to fabricate, correct, alter, contrive, alteration, correction
བཅས་བཅོས་|correcting, modifying. Syn {tshul 'chos} to change, manipulate, rearrange, manipulation, alteration, correction, fabrication
བཅས་བཅོས་མ་བྱེད་|do not make adjustments
བཅས་བཅོས་མི་བྱ་|one should not try to fabricate
བཅས་བཤམས་|arrangement [for shrine]
བཅས་ཆོག་|imprecation ritual
བཅའ་སྒ་|ginger
བཅའ་སྒྲིག་|to make preparations, arrangements
བཅས་ཁྲིམས་|precepts taken
བཅས་ལྟུང་གི་རྣམ་གཞག་|explanation of precepts
བཅས་མཚམས་|the prescribed limits, the limits of the rules
བཅས་པ་|intr. pf. of {'cha' ba}; pf. of {'cha' ba}; 1) with, connected with, having, possessing, containing, together with. 2) assuming [a posture)
བཅས་པའི་ཁ་ན་མ་ཐོ་བ་|moral misdeeds
བཅས་པའི་ཁ་ན་མ་ཐོ་|moral misdeeds
བཅས་པའི་ཁྲིམས་|precepts taken / pledged
བཅས་པའི་ལྟུང་བ་|deed formally violating one's ordination
བཅའ་ཡིག་|constitution, code of law
བཅེམ་པ་|{bcem pa, bcems pa, bcem pa, bcems} trans. v.; ft. of {bcem pa}
བཅེམས་|imp. of {bcem pa}
བཅེམས་པ་|pf. of {bcem pa}
བཅེར་བ་|to heap or pile up; {bcer ba, bcer ba, bcer ba} trans. v
བཅེས་ཀ་|dear and precious
བཅིབ་|f. of {'chib}; fut. of {'chib}
བཅིབ་པ་|ft. of {'chib pa}; carriage, conveyance
བཅིབས་པ་|to mount, ride a horse; pf. of {'chib pa}
བཅིབས་|p. of {'chib}
བཅིལ་བ་|pf. of {'jil ba}
བཅིང་བ་|to bind; ft. of {'ching ba}
བཅིང་|f. of {'ching} bind, bound, tied up [by a knot of miserliness], to tie, attach, restricted, fettered, tethered, stuck, control; fut. of {'ching} bind, bound, tied up [by a knot of miserliness], to tie, attach, restricted, fettered, tethered, stuck, control
བཅིང་གྲོལ་ལས་འདས་པ་|beyond bondage and liberation
བཅིངས་བཀྲོལ་མེད་པ་|neither bound nor liberated
བཅིངས་|. . . r bcings (pa) - to be embraced/ embodied as
བཅིངས་གྲོལ་མེད་པ་|beyond bondage and liberation
བཅིངས་ནས་འཁྲིད་|abducted, bound and carried off
བཅིངས་པ་|fastened
བཅིངས་པ་གློད་ན་|If you loosen the bonds
བཅིངས་པ་གྲོལ་བ་|freed from the fetters / binds
བཅིར་བ་|pf. of {'chir ba}; ft. of {'chir ba}
བཅོ་བ་|to make, perform; to prepare, manufacture
བཅོ་བྱ་|the object to be made
བཅོག་|to hack
བཅོལ་བ་|a trust; pf. of {'chol ba}; ft. of {'chol ba}; entrusted
བཅོལ་བའི་ཕྲིན་ལས་|entrusted
བཅོལ་དམ་དང་བསྐུལ་མ་བྱས་པ་|requested and urged
བཅོལ་དམ་|request
བཅོལ་དུ་|to confuse, confound, mix up
བཅོལ་|p. of {'chol} to entrust, enjoin, urge, deposit, store. {sngar bcol} past favors, {da bcol} future success.]; to appoint, entrust, encourage/ to employ
བཅོལ་གདམས་བྱས་པ་|told them to do
བཅོལ་གདམས་|entrustment
བཅོལ་གདམས་མཛད་པ་|entrusted me to the good care of [so-and-so]
བཅོལ་གཏམ་ལེགས་པར་བྱས་|to ask to take care of, to leave some things in someone's care, to entrust to someone's care
བཅོལ་ནས་|having entrusted it
བཅོ་ལྔའི་ཉི་ཟླ་ལྟར་གྲོལ་བ་|liberated like the sun and moon on the fifteenth; [the moon rising simultaneous with the setting of the sun, liberated at the moment of death]
བཅོ་ལྔའི་ཟླ་བ་ཉ་གང་བ་ལྟར་དཀར་ལ་འཛུམ་པའི་འོད་འཕྲོ་བ་|wearing a smile as brilliant as the full moon
བཅོ་ལྔ་མཆོད་པ་|_Butter lamp_ festival in Tibet [15th. of the first Tibetan month]
བཅོ་ལྔ་པ་|the fifteenth
བཅོ་ལྔ་|the fifteenth [auspicious day of the month]
བཅོམ་|1) p. of {'jam}. 2) to loot, plunder. 3) conquered, pride, waning, subdued, defeat, overcome. 4) those who have forsaken
བཅོམ་འཛུལ་|invasion
བཅོམ་ལྡན་|Bhagavan, blessed
བཅོམ་ལྡན་འདས་|transcendent perfect conqueror
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་|the Bhagavan tathagata
བཅོམ་ལྡན་འདས་དེ་ནི་དེ་བཞིན་གཤེགས་པ་|this Bhagavan who is the tathagata, ..
བཅོམ་ལྡན་འདས་འཇམ་དཔལ་རྣོན་པོ་ལ་ཕྱག་འཚལ་ལོ་|homage to Bhagavan Manjushri Tikshna
བཅོམ་ལྡན་འདས་འཁོར་བཅས་|the Buddha, accompanied by his assembly
བཅོམ་ལྡན་འདས་ཀུན་རིག་|see {kun rig}
བཅོམ་ལྡན་འདས་ཀྱི་དྲུང་དུ་ཕྱིན་|went to the Buddha
བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་|the shravakas of the Blessed One
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་|the Bhagavan replied
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་ཏོ་|this was explained by the Bhagavan
བཅོམ་ལྡན་འདས་ཀྱིས་|by the Buddha, the Buddha said
བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པའི་ཆོས་|the teachings of the Dharma as taught by the Buddha
བཅོམ་ལྡན་འདས་ཀྱིས་མཁྱེན་ནས་|The Bhagavan knew her thoughts
བཅོམ་ལྡན་འདས་ཀྱིས་མཁྱེན་ཏེ་|the Bhagavan knew this
བཅོམ་ལྡན་འདས་ཀྱི་སྨོན་ལམ་གྱིས་|the Buddha prayed that
བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་|in the presence of the Buddha
བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་བཞི་|the four faces of the Bhagavan
བཅོམ་ལྡན་འདས་ལ་ཆོས་ཉན་|listened to the Dharma from the Bhagavan
བཅོམ་ལྡན་འདས་ལ་ཞུས་པས་|went to discuss the matter with the Buddha
བཅོམ་ལྡན་འདས་མ་|bhagavati A general term for a peaceful female yidam
བཅོམ་ལྡན་འདས་མ་གདུགས་དཀར་མོ་ཅན་གྱི་མདོས་ཆོག་གི་ལག་ལེན་ར་མ་ཎ་ཡི་སྒྱུ་འཕྲུལ་|a method for the ritual of the mdos of sit'atapatr'apar'ajit'a for elimination of obstacles - by {bka' 'gyur ba mgon po bsod nams mchog ldan}
བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་དོན་བསྡུས་པའི་ཚིགས་སུ་བཅད་པ་|the Verses that Condense the Meaning of Bhagavati Prajnaparamita
བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོ་|the Heart Sutra[Bhagavati Prajnaparamita Hridaya] the Sutra of the Heart of Transcendent Knowledge
བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བཅུ་པའི་མདོ་|[Bhagavati Prajnaparamita Panchashatika Sutra], Fifty Stanza perfection of Wisdom Sutra
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་བཞུགས་པ་|when the lord Buddha dwelled in Shravasti
བཅོམ་ལྡན་འདས་རྡོ་རྗེ་སེམས་དཔའ་|Bhagavan Vajrasattva
བཅོམ་ལྡན་འདས་རྒྱལ་བ་ཤཱ་ཀྱ་ཐུབ་པ་|[Bhagavan jina Shakyamuni] Buddha Shakyamuni, Blessed Conqueror and Sage of the Shakyas
བཅོམ་ལྡན་འདས་ཤ་ཀྱ་ཐུབ་པ་|Bhagavan Shakyamuni
བཅོམ་ལྡན་འདུས་དཔལ་|the heruka
བཅོམ་ལྡན་རྒྱལ་བ་རིགས་ལྔ་|the conquerors, the five families
བཅོམ་ལྡན་ཤ་ཀྱའི་རྒྱལ་པོ་|Bhagavan Shakyaraja
བཅོམ་ལྡན་ཤ་ཀྱ་ཐུབ་པ་|Bhagavan Shakyamuni
བཅོམ་པ་|spoiled, vanquished
བཅོམ་པ་དང་ལྡན་པ་|n. of the world in the center of the {mi mjed}
བཅོམ་པའི་སྤངས་པ་|the abandonment of subjugation
བཅོམ་པར་བྱེད་པ་|to sweep away [by a river], to dispel [by wind]
བཅོམ་སྟན་འདས་|superabundance
བཅོ་|p. bcos 1) to correct, treat [illness], to revive. 2) Syn {bcu} [with {brgyad} and {lnga}
བཅོས་|1) p. of {bco}. 2) p. of {'chos} 3) artificial, to fabricate, alter, modify, change, correct, contrive, pretend, adulterate; pretend/ changed, modified, corrected/ to cure, heal
བཅོས་བསྒྱུར་|gang gsungs bcos bsgyur kyis lhad ma 'jug - Do not distort anything he says!
བཅོས་བསླད་བྱེད་པ་|contrived alterations, to try to correct, improve, alter, correcting and spoiling
བཅོས་བསླད་|fiddled with, tampered with
བཅོས་བསླད་དང་འཕྲི་བསྣན་མི་དགོས་པ་|has no need for being fine-tuned or corrected
བཅོས་བསླད་མེད་པ་|without distorting or sullying
བཅོ་སེམས་|the primary mind
བཅོས་འགྱུར་|Syn {bcos bsgyur}
བཅོས་གཞུང་|commentaries
བཅོས་མ་|contrived, artificial, unnatural, fake, false, fictitious, artificiality, hypocritical, deliberate, feigned, fabrication
བཅོས་མ་ཅུང་ཟད་ཕོག་འགྲོ་བ་|become, will be
བཅོས་མ་དང་ཡང་དག་པ་|artificial and real
བཅོས་མ་དང་ཡང་དག་པའི་ཡོན་ཏན་|artificial and true qualities
བཅོས་མའི་བློ་|contriving frame of mind
བཅོས་མའི་མཉམ་བཞག་|deliberate meditation
བཅོས་མའི་རྣལ་འབྱོར་|yoga of fabrication. Syn {bskyed rim}
བཅོས་མ་མ་ཡིན་|absolute
བཅོས་མ་མ་ཡིན་པའི་བྱམས་པ་|uncontrived love
བཅོས་མ་མ་ཡིན་པ་|unfabricated, unartificial, not a fabrication, unfeigned, unadulterated, true and genuine, uncontrived, uncorrected; unfabricated
བཅོས་མས་མ་རེག་པ་|totally unfabricated
བཅོས་མ་ཡིན་|absolute
བཅོས་མེད་|uncontrived; unfabricated, unmodified, uncorrected; without manipulation
བཅོས་མིན་|1) natural, sincere, uncontrived, guileless, unfabricated, unartificial, non-artificial. 2) real, true, genuine, pure, simple, authentic, bonafide
བཅོས་མིན་དུ་བཏང་|to disgrace (?)
བཅོས་མིན་དུ་སྐྱེད་|comes naturally
བཅོས་མིན་སྙིང་རྗེ་|uncontrived / natural compassion
བཅོས་པ་|to distort
བཅོས་པའི་ཆོས་|the Dharma which cures
བཅོས་སྒྱུར་བྱེད་པ་|to reform, change
བཅོས་སླད་མེད་པ་|not modified or adulterated
བཅོས་སུ་མེད་པ་|nothing to contrive
བཅོས་ཐབས་གསུམ་|1) {rab lta bas bcos pa}. 2) {'bring spyod lam gyis bcos pa} 3) {tha ma gdams ngag gis bcos pa}
བཅོས་ཐབས་མེད་པ་|incurable, incorrigible, hopeless
བཅོས་ཐབས་|remedy, cure, help, way to mend
བཅུ་|1) ten. 2) f. of {'chu}; 1) ten. 2) fut. of {'chu}
བཅུ་བ་|ft. of {'chu ba}; screw
བཅུ་བདུན་གྱི་བར་དུ་|until the age of seventeen
བཅུ་བཞི་པ་|the fourteenth
བཅུ་ཆའི་སྦྱིན་སྲེག་|the fire puja of One Tenth [of the number of recitations]
བཅུ་ཆ་|one tenth
བཅུད་|1) juice, sap, extract, essence, quintessence, moisture, nectar, potency, elixir, essential nutriment. 2) nutrient, nutrition, the nourishing part. 3) content. 4) to nourish. 5. Contents, inhabitants. // vitality [of the 5 elements]; vital essence, quintessence, distillation, distilled essence; a drink; elixir
བཅུད་བླངས་|distilled the essence {rgyal ba thams cad kyi dgongs pa'i bcud blangs} distilled the essence of all the Conqueror's wisdom
བཅུད་བླུགས་པ་|liquid is being poured
བཅུད་བཟང་པོ་|nectar; x {dug can gyi snod du bcud bzang po blugs pa dang 'dra} like nectar poured into a pot containing poison
བཅུད་ཅན་|zas bcud can - nourishing food
བཅུད་དག་པ་|purity of inner contents
བཅུད་དྲིལ་|quintessence
བཅུད་དུ་ཕྱུང་བ་|extracted essence
བཅུད་དུ་སྣང་བའི་ཁམས་|the realm of what is manifest as the contents [sentient beings]
བཅུད་ཀྱི་འཇིག་རྟེན་|the world of living beings, animate world
བཅུད་ཀྱི་ལེན་|rasayana, rejuvenation practice
བཅུད་ཀྱི་ལེན་སྦྱར་བ་|rasayana, rejuvenation practice
བཅུད་ཀྱི་སེམས་ཅན་|the contents of sentient beings [in the universal vessel], everybody born in {khams gsum}
བཅུད་ལྡན་|nutritious, tasty
བཅུད་ལེན་དངོས་གྲུབ་|the siddhi of rejuvenation
བཅུད་ལེན་གྲུབ་པ་|be accomplished in rejuvenation practice
བཅུད་ལེན་གྲུབ་པའི་དངུལ་ཆུ་|mercury for accomplishing rasayana
བཅུད་ལེན་|rejuvenation practice; extracting the essence; rasayana. One of the eight common siddhis/accomplishments {thun mong gi dngos grub brgyad} extraction of nutrients, [the art of] extracting essence, alchemy. a means of extracting the elixir of minerals from the earth and subsisting upon it. essence-extract, extracting essences extraction of nutrients; alchemy / extracting the quintessence
བཅུད་ལོངས་|collect this essence!
བཅུད་མེད་|insubstantial, inconcrete
བཅུད་ཕུར་|quintessence
བཅུ་དཔོན་|leader of a ten-member corporation [in a large monastery]
བཅུད་ཐིགས་|drop of nectar
བཅུ་ག་|all ten
བཅུ་གཅིག་དགེ་སེམས་ཀུན་གྱི་འཁོར་དུ་འབྱུང་བ་|craving, inclination, recollection, contemplation and discriminative awareness, the eleven positive functions of every positive attitude
བཅུ་གཅིག་ཀུན་ཏུ་འོད་ཀྱི་ས་|eleventh bhumi of The Universal Light
བཅུ་གཅིག་པ་|the eleventh
བཅུ་གཅིག་པོ་|all eleven
བཅུ་གཅིག་ཤེལ་|Chuchik Shel, one of the Eight Places of the Accomplished Ones of Rekong
བཅུ་གཅིག་ཞལ་|Eleven-faced Avalokiteshvara
བཅུ་གཉིས་མ་ཆགས་པ་|ma'i sa - twelfth bhumi of The Lotus of Detachment
བཅུ་གཉིས་པ་|the twelfth
བཅུ་གཉིས་པོ་|all twelve
བཅུག་པ་|to let, allow, permit
བཅུག་|to admit into
བཅུ་གསུམ་རྡོ་རྗེ་འཛིན་པའི་ས་|thirteenth bhumi of The Vajra Holder
བཅུ་ཀ་|all ten
བཅུ་ཁྲམ་|abacus
བཅུ་ལོར་|1) in his tenth year. 2) notes in the denomination of ten
བཅུམ་པ་|pf. of {'jum pa}; to use artifices, to chicane
བཅུན་པ་|ft. of {'jun pa}; pf. of {'jun pa}
བཅུན་|p. of {'jun} sometimes means _twist_ or _turn_ [the body, as in yogic exercises]
བཅུ་པ་|the tenth
བཅུ་པོ་|the ten, all ten
བཅུར་བ་|ft. of {gcur ba}; pf. of {'jur ba}; to be flattened down
བཅུར་|p. of {'jur} to weigh
བཅུས་པ་|pf. of {'chu ba}
བཅུས་|p. of {'chu}
བདའ་བ་|ft. of {'ded pa}
བདག་|identity (with inherent existence); soul
བདག་བས་གཞན་གཅེས་|to treat others as more important than oneself; to consider others more important than yourself; to make others more important than ourselves
བདག་བཀྲེས་སྐོམ་གྱིས་གདུངས་པས་བཟའ་བཏུང་སློང་ཟེར་བ་|_Feed me! I am starving ! Give me drink! I am thirsty!_
བདག་འབྲས་|bdag po'i 'bras bu
བདག་བསྐྱེད་|self-visualization, self-generation, visualizing oneself [as the deity]
བདག་བཟུང་|claimed property/ possession/ ownership. Syn {bdag gzung byed}
བདག་ཅག་གི་སྟོན་པ་|the Buddha himself, our Teacher
བདག་ཅག་|we, us, ourselves
བདག་ཆེན་|1) {bdag nyid chen po}. 2) Dagchen; title of the head lama of the Sakyapa sect
བདག་ཆེན་དབང་འདུས་སྙིང་པོ་|Dagchen Wangdü Nyingpo (1765-1806), the 33rd throne holder of Sakya
བདག་དམ་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་|transcendent sublime identity
བདག་དམ་པ་|true identity, Syn {dam pa'i bdag}
བདག་དམ་ཚིག་སེམས་དཔའ་|oneself as the samaya sattva
བདག་དང་བདག་འདྲ་ལས་ངན་སེམས་ཅན་རྣམས་|me and those with evil karma like me,
བདག་དང་གཤན་བདེ་བ་|bdag dang gshan la phan bde byed pa 'bras bu
བདག་དང་གཞན་བདེ་བ་|bdag dang gzhan la phan bde byed pa 'bras bu
བདག་དང་འཁོར་རྣམས་|yourself and the whole retinue
བདག་དང་ཕ་མ་|myself and my parents
བདག་དབང་བསྐུར་|to empower oneself
བདག་དོན་ཉེར་གཅིག་|[TRS 115-4] samayas from {rdo rje gsal bkra}
བདག་འདྲ་|people like ourselves
བདག་དུ་བཟུང་|Syn {bdag gir byed}
བདག་འཛིན་བཅད་པ་|to destroy ego-clinging
བདག་འཛིན་|[informal] clinging to reality
བདག་འཛིན་གཉིས་|two types of ego-clinging
བདག་འཛིན་གོམས་པའི་བག་ཆགས་|the tendency of habituated ego-clinging
བདག་འཛིན་འཁྲུལ་པ་|mistaken belief in a self
བདག་འཛིན་ཀུན་བཏགས་|imputed ego-clinging
བདག་འཛིན་ལྷན་སྐྱེས་|intrinsic ego-clinging
བདག་འཛིན་ཉོན་མོངས་|ego-clinging and the obscuring emotions
བདག་གཅིག་འབྲེལ་|[ggd] relation of identical nature, relation of essential identity, related as the same essence, related through being one entity, single entity relationship, related through being one entity
བདག་གཅིག་གི་འབྲེལ་བ་|relationship of single identity
བདག་གི་བར་འཛིན་པ་|grasp as one's own
བདག་གི་བདག་ཉིད་དུ་ཡོད་པ་|x. [mss]
བདག་གི་དེ་ཁོ་ན་ཉིད་|thatness of self. The five aspects of Mantra: The thatness of deity is the relative bodhichitta. The thatness of self is the body mandala. The thatness of guhya-mantra is the placement of the seed-syllable and the mantra-chain in the center of the heart. The thatness of recitation is the repetition of the root mantra, essence mantra and quintessence mantra. The thatness of emanation and absorption is the emanating and reabsorbing of light rays from the seed-syllable. 
བདག་གི་གནས་|{mtshan de bzhin bdag gi gnas su skyel na} and each night bring her back home to me
བདག་གི་གནས་པ་|substantial foundation
བདག་གི་ཁོ་ན་ཉིད་|thatness of self. One of {sngags kyi yan lag lnga}
བདག་གི་ལ་བརྣབ་སེམས་པ་|to crave for one's own [f ex status]
བདག་གི་ལུས་ལ་གནོད་ཀྱང་དགའ་|am happy even if my body comes to harm
བདག་གི་མགྲོན་དུ་རྒྱལ་བ་འཁོར་བཅས་ཕེབས་དགོས་ཞུས་པ་|said he would be most pleased if the Buddha and his attendants would come to his house for a feast
བདག་གི་|my, mine, one's own
བདག་གི་ངོ་བོ་|its own identity
བདག་གིར་བྱེད་པ་|to take possession of, take control of, claim ownership over
བདག་གིར་འཛིན་པ་|Syn {bdag gir byed}
བདག་གིས་བསྟན་|I have taught
བདག་གིས་བྱེད་པར་གྱུར་|x {btsun mo rnams byis pa 'di'i ma bdag gis byed par gyur ces thams cad yid smon byas pa} each one of the queens wished to be the child's mother
བདག་གིས་ལུས་སྨད་|stomach
བདག་གིས་མངོན་ཤེས་བདེན་པ་|I am omniscient; this is the truth
བདག་གི་སྤྱི་བོར་|above my head
བདག་གི་ཐད་|before me/ in front of me
བདག་གཉེར་|management, supervision, taking charge
བདག་གཉིས་ཀྱི་ངོ་བོ་མེད་པའི་སྟོང་པ་ཉིད་|emptiness of the identitylessness of the two kinds of self
བདག་གཉིས་སུ་འཛིན་པའི་ཀུན་རྟོག་|conceptual thinking that apprehends the twofold identity
བདག་གཉིས་|two kinds of self-entity
